NAME,Principal_Point_Coordinate_X0_mm,Principal_Point_Coordinate_Y0_mm,Rover_Location_xyz_x_m,Rover_Location_xyz_y_m,Rover_Location_xyz_z_m,camera_center_position_x_m,camera_center_position_y_m,camera_center_position_z_m,camera_rotation_angle_roll,camera_rotation_angle_pitch,camera_rotation_angle_yaw
20220112071700_HX1-Ro_GRAS_NaTeCamA-F-004_SCI_N_20220112071700_20220112071700_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,-0.008815,-0.628881,1.560043,-75.986416,-21.295804,96.786219
20220113075319_HX1-Ro_GRAS_NaTeCamA-F-004_SCI_N_20220113075319_20220113075319_00238_A.jpg,-0.010971,0.015313,106.456076,-998.553898,-10.684802,0.766465,-0.555734,1.531437,68.40456,-2.48286,-88.590237
20220117103231_HX1-Ro_GRAS_NaTeCamA-F-004_SCI_N_20220117103231_20220117103231_00242_A.jpg,-0.010971,0.015313,127.697072,-1008.003071,-11.462616,0.685511,-0.473968,1.524202,57.617434,-47.357122,-112.277262
20220119115017_HX1-Ro_GRAS_NaTeCamA-F-004_SCI_N_20220119115017_20220119115017_00244_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.085202,-0.604946,1.544448,-69.46191,-16.723866,97.467977
20220122135123_HX1-Ro_GRAS_NaTeCamA-F-004_SCI_N_20220122135123_20220122135123_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.041648,-0.660526,1.524563,-56.060714,-28.049097,109.15621
20220123142749_HX1-Ro_GRAS_NaTeCamA-F-004_SCI_N_20220123142749_20220123142749_00248_A.jpg,-0.010971,0.015313,149.077243,-1049.057057,-12.235796,-0.001365,-0.74624,1.568721,-52.058411,-61.10656,128.608494
20220125154650_HX1-Ro_GRAS_NaTeCamA-F-004_SCI_N_20220125154650_20220125154650_00250_A.jpg,-0.010971,0.015313,141.324657,-1068.28289,-11.965429,-0.466651,-0.739176,1.54527,-51.46301,-55.826384,128.205428
20220130180609_HX1-Ro_GRAS_NaTeCamA-F-004_SCI_N_20220130180609_20220130180609_00255_A.jpg,-0.010971,0.015313,130.375364,-1073.37624,-11.602299,-0.554292,-0.149034,1.581092,-70.578701,49.70892,74.591624
20220112071835_HX1-Ro_GRAS_NaTeCamA-F-005_SCI_N_20220112071835_20220112071835_00237_A.jpg,-0.010971,0.015313,92.270385,-984.89616,-10.143289,-0.041048,-0.714852,1.562584,-69.079901,-49.638891,109.065304
20220117103406_HX1-Ro_GRAS_NaTeCamA-F-005_SCI_N_20220117103406_20220117103406_00242_A.jpg,-0.010971,0.015313,127.697072,-1008.003071,-11.462616,0.780938,-0.475194,1.521949,66.778688,-20.393277,-96.371974
20220119115152_HX1-Ro_GRAS_NaTeCamA-F-005_SCI_N_20220119115152_20220119115152_00244_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.050472,-0.694126,1.545635,-62.15437,-44.079739,111.954115
20220122135258_HX1-Ro_GRAS_NaTeCamA-F-005_SCI_N_20220122135258_20220122135258_00247_A.jpg,-0.010971,0.015313,143.211949,-1016.19108,-12.014616,0.040385,-0.763936,1.525477,-39.159899,-50.420726,135.509232
20220123142924_HX1-Ro_GRAS_NaTeCamA-F-005_SCI_N_20220123142924_20220123142924_00248_A.jpg,-0.010971,0.015313,149.077243,-1049.057057,-12.235796,0.043947,-0.830263,1.568673,16.634702,-70.183034,-156.776091
